"","SOU","LL","KM","AI","EN","AS","LER","JT","UEM"
"SOU",0,0.174230106832706,0.0771097252590565,0.0206177654209523,0.0987806648320317,0.515911634294987,0.450974191115848,0.24714904966426,1.67746647478069
"LL",0.174230106832706,0,0.105720286549651,0.0654258142052171,0.0298484796022277,0.167810880689281,0.0952330524606515,0.10818076351756,1.28277471468596
"KM",0.0771097252590565,0.105720286549651,0,-0.0286469929055318,0.0176005590336684,0.198499304343653,0.24307089429227,0.320649674740443,1.79021308743961
"AI",0.0206177654209523,0.0654258142052171,-0.0286469929055318,0,-0.0753831489043566,0.0872779579212403,0.195672700911854,0.0765137337152734,1.80809799134296
"EN",0.0987806648320317,0.0298484796022277,0.0176005590336684,-0.0753831489043566,0,0.0747445967779357,0.089740795276549,0.158142947016692,1.74440566254459
"AS",0.515911634294987,0.167810880689281,0.198499304343653,0.0872779579212403,0.0747445967779357,0,0.0252670827563846,0.183418684612512,1.46622945132738
"LER",0.450974191115848,0.0952330524606515,0.24307089429227,0.195672700911854,0.089740795276549,0.0252670827563846,0,0.128110175457959,1.52948804061414
"JT",0.24714904966426,0.10818076351756,0.320649674740443,0.0765137337152734,0.158142947016692,0.183418684612512,0.128110175457959,0,1.25275214209746
"UEM",1.67746647478069,1.28277471468596,1.79021308743961,1.80809799134296,1.74440566254459,1.46622945132738,1.52948804061414,1.25275214209746,0
